City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,ostrovnoy,68.0531,39.5131,9.26,80,12,2.49,RU,2023-08-23
124,kalaswala,32.2009,74.6491,32.8,63,58,4.54,PK,2023-08-23
125,gornopravdinsk,60.05,69.9,14.51,59,92,2.93,RU,2023-08-23
126,longyearbyen,78.2186,15.6401,4.91,87,75,2.06,SJ,2023-08-23
127,lorengau,-2.0226,147.2712,27.71,75,98,4.21,PG,2023-08-23
128,mareeba,-17.0,145.4333,26.93,48,42,3.9,AU,2023-08-23
129,srednekolymsk,67.45,153.6833,11.18,42,77,3.53,RU,2023-08-23
130,tifton,31.4505,-83.5085,28.49,91,0,0.0,US,2023-08-23
131,pimentel,-6.8367,-79.9342,22.16,78,100,5.66,PE,2023-08-23
132,caravelas,-17.7125,-39.2481,23.22,90,17,3.52,BR,2023-08-23
133,bandarbeyla,9.4942,50.8122,28.08,66,22,10.84,SO,2023-08-23
134,kingsville,27.5159,-97.8561,28.14,90,20,4.12,US,2023-08-23
135,port alfred,-33.5906,26.891,13.99,90,39,2.68,ZA,2023-08-23
136,wanning,18.8003,110.3967,32.87,61,100,3.26,CN,2023-08-23
137,xapuri,-10.6517,-68.5044,26.25,49,25,0.82,BR,2023-08-23
138,saint george,37.1041,-113.5841,22.46,63,0,1.54,US,2023-08-23
139,monte escobedo,22.3,-103.5833,16.57,53,81,1.58,MX,2023-08-23
140,itarema,-2.9248,-39.9167,25.16,79,3,6.97,BR,2023-08-23
141,thompson,55.7435,-97.8558,14.13,81,98,2.61,CA,2023-08-23
142,zhanaozen,43.3,52.8,28.6,34,0,4.35,KZ,2023-08-23
143,alofi,-19.0595,-169.9187,22.55,82,98,10.55,NU,2023-08-23
144,catuday,16.2923,119.8062,28.94,73,78,5.61,PH,2023-08-23
145,nyangao,-10.3333,39.2833,23.84,65,79,3.26,TZ,2023-08-23
146,leningradskiy,69.3833,178.4167,1.8,70,19,4.24,RU,2023-08-23
147,port hawkesbury,45.6169,-61.3485,15.44,88,100,1.79,CA,2023-08-23
148,kisangani,0.5167,25.2,23.21,82,66,1.0,CD,2023-08-23
149,ribeira grande,38.5167,-28.7,19.87,77,40,1.54,PT,2023-08-23
150,mehamn,71.0357,27.8492,9.97,87,100,0.0,NO,2023-08-23
151,victoria,22.2855,114.1577,32.96,80,98,0.89,HK,2023-08-23
152,sinnamary,5.3833,-52.95,25.09,91,47,5.05,GF,2023-08-23
153,dhidhdhoo,6.8833,73.1,28.21,73,46,4.71,MV,2023-08-23
154,bileca,42.8719,18.4297,26.94,61,0,2.54,BA,2023-08-23
155,severo-kurilsk,50.6789,156.125,13.73,92,99,2.16,RU,2023-08-23
156,russell,32.3502,-85.1999,28.89,94,0,0.0,US,2023-08-23
157,kyrylivka,46.3759,35.3675,23.17,47,0,4.77,UA,2023-08-23
158,piranhas,-16.4269,-51.8222,25.05,39,38,0.61,BR,2023-08-23
159,beringovskiy,63.05,179.3167,9.51,95,100,4.09,RU,2023-08-23
160,coquimbo,-29.9533,-71.3436,12.85,76,0,2.57,CL,2023-08-23
161,axim,4.8699,-2.2405,24.14,92,99,2.7,GH,2023-08-23
162,havre-saint-pierre,50.2334,-63.5986,11.24,65,14,2.67,CA,2023-08-23
163,sobolevo,54.4299,31.8996,14.78,81,70,4.06,RU,2023-08-23
164,uitenhage,-33.7576,25.3971,13.56,84,71,5.39,ZA,2023-08-23
165,nanakuli,21.3906,-158.1547,28.88,65,0,4.12,US,2023-08-23
166,kruisfontein,-34.0033,24.7314,12.71,86,99,8.33,ZA,2023-08-23
167,katsuura,35.1333,140.3,29.23,79,41,5.23,JP,2023-08-23
168,namatanai,-3.6667,152.4333,27.45,82,54,3.92,PG,2023-08-23
169,nikki,9.9401,3.2108,22.53,95,100,1.16,BJ,2023-08-23
170,bud,39.447,-86.1758,24.26,85,0,2.78,US,2023-08-23
171,matara,5.9485,80.5353,28.64,74,99,4.63,LK,2023-08-23
172,saldanha,-33.0117,17.9442,12.29,69,82,5.86,ZA,2023-08-23
173,vardo,70.3705,31.1107,8.99,93,100,0.0,NO,2023-08-23
174,ambatofinandrahana,-20.55,46.8,15.72,69,23,1.74,MG,2023-08-23
175,rundu,-17.9333,19.7667,15.33,19,40,1.67,,2023-08-23
176,aykhal,66.0,111.5,11.86,46,0,1.4,RU,2023-08-23
177,carnarvon,-24.8667,113.6333,21.22,49,0,7.4,AU,2023-08-23
178,rawson,-43.3002,-65.1023,7.47,45,17,11.07,AR,2023-08-23
179,vizinga,61.0749,50.1031,9.55,71,71,3.78,RU,2023-08-23
180,cayenne,4.9333,-52.3333,24.02,94,0,0.0,GF,2023-08-23
181,labuhan,-6.8844,112.2051,32.9,100,4,4.06,ID,2023-08-23
182,hilo,19.7297,-155.09,24.85,87,20,0.0,US,2023-08-23
183,ostersund,63.1792,14.6357,11.45,100,20,2.06,SE,2023-08-23
184,xichang,27.8964,102.2634,25.95,66,46,0.92,CN,2023-08-23
185,fort nelson,58.8053,-122.7002,18.86,50,34,0.45,CA,2023-08-23
186,tsalka,41.5946,44.0891,19.26,59,0,0.87,GE,2023-08-23
187,avera,33.194,-82.5271,26.03,55,47,0.87,US,2023-08-23
188,elliot lake,46.3834,-82.6331,14.57,81,100,0.99,CA,2023-08-23
189,krasnogorsk,55.8225,37.3181,16.06,88,0,2.0,RU,2023-08-23
190,pitiquito,30.7,-112.0833,30.53,45,3,3.91,MX,2023-08-23
191,egvekinot,66.3167,-179.1667,4.87,62,86,2.41,RU,2023-08-23
192,stornoway,58.2093,-6.3865,12.27,89,40,4.63,GB,2023-08-23
193,batemans bay,-35.7167,150.1833,17.28,60,30,3.23,AU,2023-08-23
194,gloversville,43.0528,-74.3438,14.39,91,10,1.28,US,2023-08-23
195,lydenburg,-25.0978,30.4597,15.96,44,4,0.8,ZA,2023-08-23
196,bambari,5.768,20.6757,22.27,96,100,0.91,CF,2023-08-23
197,encruzilhada do sul,-30.5439,-52.5219,16.04,97,21,3.35,BR,2023-08-23
198,barstow,34.8986,-117.0228,28.43,36,0,1.4,US,2023-08-23
199,ales,44.1333,4.0833,24.27,51,12,2.02,FR,2023-08-23
200,siguiri,11.6667,-9.5,22.42,95,98,1.4,GN,2023-08-23
201,san patricio,28.017,-97.5169,28.94,86,98,6.13,US,2023-08-23
